frame,xmin,xmax,ymin,ymaxs,class_id
8381YJ_20131211_190139.jpg,171,234,32,56,1
1850YN_20170704_180749.jpg,108,165,4,31,1
5592MP_20130531_075833.jpg,119,164,133,157,1
6A8338_20140708_162357.jpg,81,130,21,41,1
9256A9_20150714_114212.jpg,192,277,1,33,1
0573VN_20160830_121823.jpg,16,103,28,74,1
0871RG_20160805_074936.jpg,161,259,104,149,1
0573VN_20170307_151201.jpg,106,189,1,32,1
1553ZS_20020108_034832.jpg,220,271,51,76,1
1850YN_20160722_124352.jpg,186,226,183,196,1
5199T2_20150313_113552.jpg,152,198,70,87,1
5786YZ_20151221_170342.jpg,129,186,174,193,1
AGV7939_20170628_124154.jpg,128,190,173,200,1
0663UX_20161208_185710.jpg,142,211,10,36,1
3863J7_20130604_212808.jpg,74,113,86,107,1
8381YJ_20131204_184715.jpg,180,245,9,37,1
9256A9_20150417_123804.jpg,76,128,42,62,1
7679J2_20130814_082628.jpg,67,153,62,106,1
8673K9_20020314_053721.jpg,243,291,96,119,1
8E8338_20161229_084338.jpg,97,176,2,39,1
5119J3_20020210_201113.jpg,124,170,84,105,1
5199T2_20141209_074004.jpg,102,186,1,29,1
5199T2_20131028_110425.jpg,68,126,27,51,1
6A8338_20140806_182741.jpg,76,122,5,24,1
AAP2927_20130517_201432.jpg,84,129,87,103,1
8210M5_20130626_185838.jpg,203,257,15,40,1
2975A5_20170704_084724.jpg,89,148,17,43,1
AAQ6006_20131030_205244.jpg,178,261,1,28,1
2E0325_20151218_210236.jpg,166,213,147,174,1
5199T2_20170503_123425.jpg,105,178,1,31,1
5199T2_20140610_124226.jpg,45,115,1,27,1
ZM5831_20161121_082459.jpg,202,281,1,30,1
AHF2353_20160524_080508.jpg,124,233,70,111,1
2E1723_20170223_072844.jpg,46,128,7,47,1
2786L3_20160525_083104.jpg,137,184,110,137,1
APM5527_20170710_204631.jpg,148,218,28,59,1
AFG1929_20161005_152824.jpg,57,127,17,47,1
5902VF_20150717_123156.jpg,92,135,12,27,1
